ProbeSetID,gene_short_name,Control_rep1,Control_rep2,Control_rep3,RBP2_rep1,RBP2_rep2,RBP2_rep3
XLOC_015341,ACPP,0.489561,0.434081,0.842394,0.487738,0.537172,0.122531
XLOC_015342,DNAJC13,7.07094,5.83943,3.13471,12.3746,12.0995,13.2191
XLOC_015343,CCRL1,0,0,0,0.0288678,0,0.0328977
XLOC_015344,UBA5,10.3733,7.1005,4.76328,14.6871,16.6118,11.4573
XLOC_015345,NPHP3-AS1,0,0,0,0,0,0
XLOC_015346,TMEM108,0,0,0,0.0163369,0.0160011,0
XLOC_015347,BFSP2,0.143965,0.192011,0,0,0,0
XLOC_015348,CDV3,42.1491,35.1217,24.0921,53.2068,54.0933,65.0643
XLOC_015349,TF,0.106125,0.10622,0.0584483,0.0225901,0.0884872,0.360422
XLOC_015350,SRPRB,49.2775,55.4252,68.4329,60.3631,60.967,48.1721
XLOC_015351,MIR4788,0,0,0,0,0,0
XLOC_015352,CEP63,2.99687,2.68298,1.52322,6.57245,7.26704,5.83574
XLOC_015353,EPHB1,0,0.0154161,0.0508878,0.0262282,0.0513828,0
XLOC_015354,PPP2R3A,2.19476,1.8071,1.06853,2.78063,2.70474,2.41978
XLOC_015355,PCCB,79.4818,95.0109,118.09,46.367,49.1325,55.2686
XLOC_015356,SLC35G2,0,0,0,0,0.0394191,0
XLOC_015357,NCK1,14.0899,9.91163,8.86719,16.6622,18.0875,18.3753
XLOC_015358,IL20RB,0.408707,0.334597,0.531975,0.759047,0.526377,0.90104
XLOC_015359,SOX14,0,0,0,0,0,0
XLOC_015360,CLDN18,0,0,0,0,0,0
XLOC_015361,ARMC8,12.8565,10.9232,10.5944,13.7284,14.0382,16.4699
XLOC_015362,MRAS,2.73553,2.43288,3.43992,1.4555,1.26002,1.26435
XLOC_015363,ESYT3,0.811066,0.730823,0.589709,0.414464,0.581894,0.39363
XLOC_015364,FAIM,12.8318,10.4103,7.09055,22.8045,23.8954,18.9073
XLOC_015365,C3orf72,0.0355455,0,0,0.0756809,0.103779,0.0172503
XLOC_015366,BPESC1,0,0,0,0,0,0
XLOC_015367,MRPS22,42.7386,39.4004,40.0615,44.1907,42.6727,41.9835
XLOC_015368,CLSTN2,2.8113,4.33265,5.35098,3.86119,3.20507,2.92894
XLOC_015369,TRIM42,0,0,0,0,0,0
XLOC_015370,SLC25A36,14.6116,10.9333,7.77615,25.3499,25.4627,22.1442
XLOC_015371,SPSB4,2.08299,1.52455,2.60247,0.50289,0.388745,0.904895
XLOC_015372,ACPL2,3.53358,2.21123,1.47449,2.43387,2.95412,3.58972
XLOC_015373,ZBTB38,1.47554,1.27497,1.28195,2.33435,2.21659,3.02888
XLOC_015374,RASA2,0.861756,1.7537,0.885918,2.93481,2.75407,3.3167
XLOC_015375,RNF7,63.5233,62.0341,68.5118,52.0395,52.3151,50.1985
XLOC_015376,GRK7,0.0442981,0,0,0.0377,0,0
XLOC_015377,ATP1B3,77.3147,76.149,82.2706,61.1816,58.6483,60.1107
XLOC_015378,PLS1,11.3133,9.20208,5.38749,11.441,11.2712,12.7911
XLOC_015379,TRPC1,0.855268,0.641702,0.333438,1.83061,1.40482,1.61699
XLOC_015380,LOC100507389,0,0,0,0,0,0
XLOC_015381,U2SURP,12.0523,8.41676,4.99111,18.0899,18.3086,15.6289
XLOC_015382,CHST2,0,0,0,0,0,0
XLOC_015383,SLC9A9-AS1,0,0,0,0,0,0
XLOC_015384,C3orf58,2.75419,1.48603,0.854259,2.41755,3.06688,2.25552
XLOC_015385,ZIC1,0.794644,0.72705,0.664122,1.00358,1.09739,0.691582
XLOC_015386,AGTR1,0,0,0,0,0,0
XLOC_015387,CPB1,0,0.0542454,0,0.138443,0.0451609,0
XLOC_015388,CPA3,0,0,0,0,0,0
XLOC_015389,GYG1,86.0595,98.2228,109.179,63.0598,63.089,48.9489
XLOC_015390,HLTF-AS1,0.299988,0,0,0,0,0
XLOC_015391,HPS3,19.8039,14.3756,9.15869,19.3097,19.874,21.4721
XLOC_015392,TM4SF4,0.0972596,0.0486434,0.0535515,0.0827634,0,0.0943115
XLOC_015393,WWTR1-AS1,0.137112,0.365764,0.251657,0.038895,0.266497,0.17729
XLOC_015394,RNF13,13.2444,9.18393,7.48003,15.2618,15.7672,11.2811
XLOC_015395,LOC646903,0.583024,0.427787,0.599298,0.72784,0.518211,1.01794
XLOC_015396,TSC22D2,5.34407,4.02187,1.79081,14.3059,13.9185,14.6537
XLOC_015397,EIF2A,23.058,17.7624,11.587,29.6147,28.9594,28.2469
XLOC_015398,SELT,35.5834,34.1759,35.7872,35.5751,31.0039,33.9453
XLOC_015399,CLRN1-AS1,0.0371752,0,0.12283,0,0.06196,0.0721219
XLOC_015400,MED12L,1.89082,1.62791,1.44627,2.71168,2.67376,3.40095
XLOC_015401,MIR548H2,0,0,0,0,0,0
XLOC_015402,AADACL2,0,0,0,0,0,0
XLOC_015403,LOC201651,0,0,0,0,0,0
XLOC_015404,AADAC,0.145992,0.0973552,0.107178,0.455519,0.283715,0.188756
XLOC_015405,SUCNR1,0,0,0,0,0,0.0457732
XLOC_015406,MBNL1,6.89005,5.18416,3.01212,12.5444,13.1369,17.199
XLOC_015407,P2RY1,0.0236534,0.0473531,0.0260551,0.0604239,0.0394503,0.045908
XLOC_015408,RAP2B,8.27309,6.33885,4.1166,13.5878,14.0356,12.1026
XLOC_015409,C3orf79,0,0,0,0,0,0
XLOC_015410,ARHGEF26,4.21075,3.40838,2.40053,4.43164,4.38365,4.82234
XLOC_015411,MME,0.0508634,0,0,0.0866685,0.0636695,0.160527
XLOC_015412,GMPS,46.9779,48.5688,48.7255,43.2872,43.3503,43.6887
XLOC_015413,KCNAB1,0.0391652,0.0196013,0,0.150108,0.179693,0.038012
XLOC_015414,TIPARP,9.42775,8.37214,8.90537,15.8057,14.8034,10.4155
XLOC_015415,LEKR1,0.2758,0.379753,0.205474,0.640418,0.638915,0.229305
XLOC_015416,LOC100498859,0,0,0,0,0,0
XLOC_015417,PTX3,0,0.0394661,0.0434418,0,0.0328677,0.07652
XLOC_015418,C3orf55,0.297322,0.153792,0,0.0842191,0.233533,0.0802421
XLOC_015419,RSRC1,11.915,10.4176,7.207,14.2213,15.392,15.0213
XLOC_015420,MLF1,14.9631,13.1833,12.7389,11.5914,11.6066,5.69311
XLOC_015421,GFM1,18.4325,17.0811,13.4359,21.491,20.2928,23.2862
XLOC_015422,MFSD1,28.5647,22.1076,14.2091,46.7054,46.7628,31.6607
XLOC_015423,"IQCJ,IQCJ-SCHIP1,SCHIP1",1.41364,1.17666,0.624629,1.77066,2.24883,1.29018
XLOC_015424,MIR3919,0,0,0,0,0,0
XLOC_015425,IL12A,0.384804,0.274888,0.060531,0.514478,0.411928,0.266477
